Genomes	strain	ST	ID	length	replicon	K_locus	K_type	K_locus_confidence	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	rmpA2
11	GCA_015138775.1_ASM1513877v1_genomic	ST20	AP022528.1	142386	IncFIB(K)	KL28	K28	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	GCA_015138775.1_ASM1513877v1_genomic	ST20	AP022529.1	44402	IncN3	KL28	K28	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	GCA_015138775.1_ASM1513877v1_genomic	ST20	AP022530.1	4906	-	KL28	K28	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	GCA_015138775.1_ASM1513877v1_genomic	ST20	AP022531.1	4680	-	KL28	K28	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	GCA_015138775.1_ASM1513877v1_genomic	ST20	AP022532.1	2315	ColRNAI	KL28	K28	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12	GCA_013168295.1_ASM1316829v1_genomic	ST967	AP023149.1	111317	-	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12	GCA_013168295.1_ASM1316829v1_genomic	ST967	AP023150.1	86902	IncFII	KL19	K19	High	aac(3)-IId^;aac(6')-Ib-cr.v2*;aadA16*;aph3-Ia.v1;strA.v1^;strB.v1	-	-	qnrS1	-	mphA	floR.v1	arr-3	sul1;sul1;sul2*	tet(A).v2	-	dfrA27	TEM-1D.v1^	-	CTX-M-3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12	GCA_013168295.1_ASM1316829v1_genomic	ST967	AP023151.1	54548	-	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	GCA_013426775.1_ASM1342677v1_genomic	ST3026	AP023265.1	217495	IncFIB(K),IncFII(p14)	KL132	unknown (KL132)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	GCA_013426775.1_ASM1342677v1_genomic	ST3026	AP023266.1	114591	ColRNAI,IncFIB(pQil),IncFII	KL132	unknown (KL132)	High	aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
13	GCA_013426775.1_ASM1342677v1_genomic	ST3026	AP023267.1	66443	FII(pBK30683)	KL132	unknown (KL132)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	GCA_011764365.2_ASM1176436v2_genomic	ST273	AP023338.1	288040	IncFIB(Mar),IncHI1B	KL74	K74	Very high	aac(3)-IV;aadA2;aadA^;aph(4)-Ia;armA;strA.v1*;strA.v1^;strB.v1;strB.v1	-	-	qnrB4	-	mphE.v2;msrE	cmlA1*	-	sul1;sul3	-	tmexC1^;tmexD1;toprJ1	-	DHA-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	GCA_011764365.2_ASM1176436v2_genomic	ST273	AP023339.1	173855	-	KL74	K74	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	GCA_011764365.2_ASM1176436v2_genomic	ST273	AP023340.1	160398	IncFIB(K),IncFII	KL74	K74	Very high	strA.v1^;strB.v1	-	-	qnrB4	-	mphA	-	-	sul1;sul1	-	-	-	DHA-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	GCA_011764365.2_ASM1176436v2_genomic	ST273	AP023341.1	71220	IncFII	KL74	K74	Very high	-	-	fosA3	-	-	-	-	-	-	-	-	-	-	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	GCA_011764365.2_ASM1176436v2_genomic	ST273	AP023342.1	4167	Col440I	KL74	K74	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	GCA_014905815.1_ASM1490581v1_genomic	ST11	AP023454.1	93470	IncFII	KL24	K24	High	aadA2^;rmtB	-	-	-	-	ermB.v1*;mphA?	-	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	NDM-5	-	-	-	-	-	-	-	-	-	-	-	-	-
15	GCA_014905815.1_ASM1490581v1_genomic	ST11	AP023455.1	185769	IncFIB(K),IncFII	KL24	K24	High	-	-	-	-	-	mphA	-	-	-	tet(A).v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	GCA_014905815.1_ASM1490581v1_genomic	ST11	AP023456.1	56841	IncFIA(HI1),IncR	KL24	K24	High	aac(3)-IIa.v1^;aac(6')-Ib'.v1	-	-	qnrB9.2^	-	-	-	-	-	-	-	-	-	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	GCA_014905815.1_ASM1490581v1_genomic	ST11	AP023457.1	9294	ColRNAI	KL24	K24	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	GCA_014905815.1_ASM1490581v1_genomic	ST11	AP023458.1	3991	ColRNAI	KL24	K24	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024174.1	252273	IncFIB(K),IncFII	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024175.1	130933	IncFII,IncR	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024176.1	110494	-	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024177.1	69826	IncFII(Yp)	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024178.1	5783	Col440I	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024179.1	4941	-	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	GCA_016629585.1_ASM1662958v1_genomic	ST2999	AP024180.1	3359	ColRNAI	KL141	unknown (KL141)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	GCA_000016305.1_ASM1630v1_genomic	ST38	CP000648.1	175879	IncFIB(K),IncFII	KL52	K52	Perfect	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	GCA_000016305.1_ASM1630v1_genomic	ST38	CP000649.1	107576	IncFIB(pQil),IncFII	KL52	K52	Perfect	aac(6')-Ib'.v1;aadA*	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	SHV-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	GCA_000016305.1_ASM1630v1_genomic	ST38	CP000650.1	88582	IncR	KL52	K52	Perfect	ant(2'')-Ia;aph(3')-Ia;strA.v1;strB.v1	-	-	-	-	-	catA1*;cmlA5	-	sul1;sul2	tet(D)	-	-	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	GCA_000016305.1_ASM1630v1_genomic	ST38	CP000651.1	4259	Col440I	KL52	K52	Perfect	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	GCA_000016305.1_ASM1630v1_genomic	ST38	CP000652.1	3478	ColRNAI	KL52	K52	Perfect	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	GCA_000220485.1_ASM22048v1_genomic	ST375	CP002911.1	202852	IncFIB(K),IncHI1B	KL2	K2	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	1	8	9	11	1	15	1	7	17	25*-58%	2	rmpA2_5-54%
19	GCA_000240185.2_ASM24018v2_genomic	ST11	CP003223.1	122799	IncFIB(pKPHS1)	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	GCA_000240185.2_ASM24018v2_genomic	ST11	CP003224.1	111195	IncFII,IncR	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	TEM-1	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
19	GCA_000240185.2_ASM24018v2_genomic	ST11	CP003225.1	105974	IncA/C2	KL103	unknown (KL103)	Very high	aadA2^;rmtB;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(G).v1	-	dfrA12*	TEM-1;TEM-1	-	CTX-M-14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	GCA_000240185.2_ASM24018v2_genomic	ST11	CP003226.1	3751	Col156	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	GCA_000240185.2_ASM24018v2_genomic	ST11	CP003227.1	3353	ColRNAI	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	GCA_000240185.2_ASM24018v2_genomic	ST11	CP003228.1	1308	Col(KPHS6)	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	GCA_000512165.1_ASM51216v1_genomic	ST442	CP003994.1	3223	Col440II,ColRNAI	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	GCA_000512165.1_ASM51216v1_genomic	ST442	CP003995.1	5065	Col440I	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	GCA_000512165.1_ASM51216v1_genomic	ST442	CP003996.1	2459	-	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	GCA_000512165.1_ASM51216v1_genomic	ST442	CP003997.1	45574	IncU,IncX3	KL107	unknown (KL107)	Very high	sat-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
20	GCA_000512165.1_ASM51216v1_genomic	ST442	CP003998.1	81071	IncA/C2	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	GCA_000512165.1_ASM51216v1_genomic	ST442	CP004000.1	295493	IncFIB(Mar),IncHI1B	KL107	unknown (KL107)	Very high	aac(6')-Ib'.v2^;aadA*;aadA2;rmtG	-	-	-	-	-	cmlA4*	-	sul1;sul1;sul2	-	-	dfrA15.v2*	OXA-9.v1;TEM-1D.v1^	-	CTX-M-2;SHV-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	GCA_000364385.3_ASM36438v3_genomic	ST11	CP006660.1	2014	ColRNAI	unknown (KL74)	unknown (K74)	Low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	GCA_000364385.3_ASM36438v3_genomic	ST11	CP006661.1	140825	IncA/C2	unknown (KL74)	unknown (K74)	Low	aac(6')-Ib3^;rmtC	-	-	-	-	-	-	-	sul1	-	-	-	CMY-6	-	-	-	NDM-1	-	-	-	-	-	-	-	-	-	-	-	-	-
21	GCA_000364385.3_ASM36438v3_genomic	ST11	CP006662.2	85161	IncFIA(HI1),IncR	unknown (KL74)	unknown (K74)	Low	aac(3)-IIa.v1^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB9.2^	-	-	CatB4.v1	-	sul2	-	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	GCA_000364385.3_ASM36438v3_genomic	ST11	CP006663.1	117755	IncFIB(K),IncFII	unknown (KL74)	unknown (K74)	Low	-	-	-	-	-	mphA	-	-	-	tet(A).v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22	GCA_000733255.1_ASM73325v1_genomic	ST14	CP006799.1	283371	IncFIB(Mar),IncHI1B	KL2	K2	Very high	aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI;armA	-	-	qnrB1.v2^	-	mphE.v2^;msrE	CatB4.v1	-	sul1	-	-	dfrA12;dfrA14.v1^	OXA-1	-	-	-	NDM-1	-	-	-	-	-	-	-	-	-	-	-	-	-
22	GCA_000733255.1_ASM73325v1_genomic	ST14	CP006800.1	103694	IncFIB(K)	KL2	K2	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22	GCA_000733255.1_ASM73325v1_genomic	ST14	CP006801.1	70814	IncFIA(HI1),IncR	KL2	K2	Very high	aac(3)-IId^;aac(6')-Ib'.v1;aadA*;aadA*;strA.v1*;strB.v1*	-	-	-	-	ereA2*	cmlA5	arr-2	sul1*;sul2	-	-	-	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22	GCA_000733255.1_ASM73325v1_genomic	ST14	CP006802.1	6141	ColKP3	KL2	K2	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-232	-	-	-	-	-	-	-	-	-	-	-	-	-
23	GCA_000597905.1_ASM59790v1_genomic	ST258	CP006919.1	25284	ColRNAI	KL107	unknown (KL107)	Very high	aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-3	-	-	-	-	-	-	-	-	-	-	-	-	-
23	GCA_000597905.1_ASM59790v1_genomic	ST258	CP006921.1	12399	-	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
23	GCA_000597905.1_ASM59790v1_genomic	ST258	CP006922.1	86232	IncFII(Yp)	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	GCA_000598005.1_ASM59800v1_genomic	ST258	CP006924.1	10925	Col440I	KL107	unknown (KL107)	Very high	aadA*	-	-	-	-	-	-	-	-	-	-	-	OXA-9.v1;TEM-150*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	GCA_000598005.1_ASM59800v1_genomic	ST258	CP006925.1	36109	-	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	GCA_000598005.1_ASM59800v1_genomic	ST258	CP006926.1	73636	FIA(pBK30683)	KL107	unknown (KL107)	Very high	aac(6')-Ib'.v2^;aadA*;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v1^	OXA-9.v1;TEM-1D.v1^	-	-	-	KPC-3	-	-	-	-	-	-	-	-	-	-	-	-	-
24	GCA_000598005.1_ASM59800v1_genomic	ST258	CP006927.1	142788	IncFIB(K),IncFII	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	GCA_000598005.1_ASM59800v1_genomic	ST258	CP006928.1	14249	ColRNAI	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
25	GCA_000281435.2_ASM28143v2_genomic	ST258	CP007728.1	15096	ColRNAI	KL107	unknown (KL107)	Very high	aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
25	GCA_000281435.2_ASM28143v2_genomic	ST258	CP007729.1	243824	IncFIB(K),IncFII	KL107	unknown (KL107)	Very high	aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
25	GCA_000281435.2_ASM28143v2_genomic	ST258	CP007730.1	113639	IncFIB(pQil),IncFII	KL107	unknown (KL107)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	KPC-3	-	-	-	-	-	-	-	-	-	-	-	-	-
26	GCA_000695935.1_ASM69593v1_genomic	ST34	CP007732.1	268334	IncA/C2,IncN	KL37	K37	Good	aac(3)-Ia*;aac(6')-Ib7;ant(2'')-Ia	-	-	-	-	mphE.v2;msrE	-	-	sul1;sul1*	-	-	dfrA14.v1^	FOX-5	-	SHV-5	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
26	GCA_000695935.1_ASM69593v1_genomic	ST34	CP007733.1	80411	IncL/M(pOXA-48)	KL37	K37	Good	ant(2'')-Ia	-	-	qnrB19^	-	-	catA1*	-	-	-	-	-	TEM-1D.v1^	-	SHV-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
26	GCA_000695935.1_ASM69593v1_genomic	ST34	CP007734.1	338850	IncFIB(K),IncFII	KL37	K37	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
